Key,Item Type,Author,Title,Publication Title,Publication Year,Volume,Issue,Pages,DOI,ISSN,ISBN,Url,Publisher
9NRUGEZA,journalArticle,"Nong, Xiaofeng; Liang, Xiaobo",Scheduling allocation in 5G slicing networks utilizing weighted exponential and logarithmic functions to improve QoS,Scientific Reports,2025,15,1,,10.1038/s41598-025-17385-4,2045-2322,,http://dx.doi.org/10.1038/s41598-025-17385-4,Springer Science and Business Media LLC
9AXEZCJQ,journalArticle,"Pelekis, Sotiris; Koutroubas, Thanos; Blika, Afroditi; Berdelis, Anastasis; Karakolis, Evangelos; Ntanos, Christos; Spiliotis, Evangelos; Askounis, Dimitris","Adversarial machine learning: a review of methods, tools, and critical industry sectors",Artificial Intelligence Review,2025,58,8,,10.1007/s10462-025-11147-4,1573-7462,,http://dx.doi.org/10.1007/s10462-025-11147-4,Springer Science and Business Media LLC
9V7NMWKG,journalArticle,"Kateb, Faris; Ragab, Mahmoud; Abukhodair, Felwa; Abdulkader, Omar Ahmed; Maghrabi, Louai A.; Binyamin, Sami Saeed; Al-Hanawi, Mohammed Khaled",Improved security for IoT-based remote healthcare systems using deep learning with jellyfish search optimization algorithm,Scientific Reports,2025,15,1,,10.1038/s41598-025-97065-5,2045-2322,,http://dx.doi.org/10.1038/s41598-025-97065-5,Springer Science and Business Media LLC
9B77YY88,journalArticle,"Kumaran, Elavarasi; Uthirapathy, Palani",Intelligent Blockchain security for smart cities: Artificial intelligence-based anomaly detection and data integrity,Peer-to-Peer Networking and Applications,2026,19,2,,10.1007/s12083-025-02190-7,1936-6450,,http://dx.doi.org/10.1007/s12083-025-02190-7,Springer Science and Business Media LLC
A5GBBYMR,journalArticle,"Huang, Li; Zhao, Lu; Liu, Yansong; Zhao, Yao",Hierarchical Service Composition via Blockchain-enabled Federated Learning,Data Science and Engineering,2024,9,4,449–463,10.1007/s41019-024-00258-7,2364-1541,,http://dx.doi.org/10.1007/s41019-024-00258-7,Springer Science and Business Media LLC
A46N2BN4,journalArticle,"Hu, WeiWei; Alzubi, Jafar A.; Shreyas, J.; Al-Razgan, Muna; Ali, Yasser A.; Karthikayan, A.",Enhancing IoT Network Security by Anomaly Detection and Intrusion Prevention Using Gannet Optimization-Based Adaptive Deep Capsule Network,International Journal of Computational Intelligence Systems,2025,18,1,,10.1007/s44196-025-00940-2,1875-6883,,http://dx.doi.org/10.1007/s44196-025-00940-2,Springer Science and Business Media LLC
9KEMGNLJ,journalArticle,"Govindarajan, Vijay; Ahmed, Faraz; Kamaluddin, Khaja; Mushtaq, Zohaib; Alshammari, Kaznah; Khan, Faheem",SecureRiskNet: An Advanced AI-Driven Framework for Intelligent Security Risk Detection in Heterogeneous Cloud-Fog Computing Networks,International Journal of Computational Intelligence Systems,2026,19,1,,10.1007/s44196-025-01117-7,1875-6883,,http://dx.doi.org/10.1007/s44196-025-01117-7,Springer Science and Business Media LLC
9XKXTI6A,journalArticle,"Fnu, Himani; Mirza, Mahamood Hussain; Marri, Mahatma Reddy; Singh, Sangeeta; Kumar, Nitin; Adol, Dominic Majak Deng; Ghoniem, Rania M.; Pant, Ruby; Bharany, Salil",Blockchain-Assisted Transformer CNN Framework with Optimal Feature Selection for Real-Time Digital Payment Fraud Detection,International Journal of Computational Intelligence Systems,2026,19,1,,10.1007/s44196-025-01126-6,1875-6883,,http://dx.doi.org/10.1007/s44196-025-01126-6,Springer Science and Business Media LLC
9UH4Y4QE,journalArticle,"Elhassan, Zeinab Abdallah Mohammed",Building energy management through smart occupancy based control,Discover Applied Sciences,2026,8,5,,10.1007/s42452-026-08504-5,3004-9261,,http://dx.doi.org/10.1007/s42452-026-08504-5,Springer Science and Business Media LLC
927AJNXE,journalArticle,"Daou, Leonardo; Ören, Tuncer; Petitdemange, Eva; Zacharewicz, Gregory; Daclin, Nicolas; Durieux, Severine",Advancing Holonic Systems in the Era of Artificial Intelligence and Digital Twins for Trustworthy and Effective Human-Centric Intelligent Systems,Human-Centric Intelligent Systems,2026,6,1,163–185,10.1007/s44230-026-00140-x,2667-1336,,http://dx.doi.org/10.1007/s44230-026-00140-x,Springer Science and Business Media LLC
9LUHWTFW,journalArticle,"Bilal, Muhammad Ahmad; Ul Islam, Ihtesham; Idrees, Sarmad; Qasim, Muhammad; Khan, Muhammad Junaid; Khan, Jaleed",Dataset-centric evaluation of federated intrusion detection models in IoT networks,Scientific Reports,2026,16,1,,10.1038/s41598-025-32567-w,2045-2322,,http://dx.doi.org/10.1038/s41598-025-32567-w,Springer Science and Business Media LLC
8Z8TUABA,journalArticle,"Ashraf, Shahzad; Choi, Chang; Bilal, Ahmad",CTDMF-SC: cybersecurity threat detection and mitigation framework for smart cities,International Journal of Information Security,2026,25,2,,10.1007/s10207-025-01195-w,1615-5270,,http://dx.doi.org/10.1007/s10207-025-01195-w,Springer Science and Business Media LLC
A2UHW9VT,journalArticle,"Ahmed, Shams Forruque; Shawon, Shanjana Shuravi; Bhuyian, Afsana; Afrin, Shaila; Mehjabin, Aanushka; Kuldeep, Sweety Angela; Alam, Md. Sakib Bin; Gandomi, Amir H.",Forensics and security issues in the Internet of Things,Wireless Networks,2025,31,4,3431–3466,10.1007/s11276-025-03942-2,1572-8196,,http://dx.doi.org/10.1007/s11276-025-03942-2,Springer Science and Business Media LLC
A4KXNUSC,conferencePaper,"Lerat, J.-S.; Mahmoudi, S.A.",Scalable Deep Learning for Industry 4.0: Speedup with Distributed Deep Learning and Environmental Sustainability Considerations,,2024,1220 LNNS,,182–204,10.1007/978-3-031-78698-3_10,,,https://www.scopus.com/pages/publications/85215701036?origin=resultslist,
9GA3C7CH,journalArticle,"Kontar, R.; Shi, N.; Yue, X.; Chung, S.; Byon, E.; Chowdhury, M.; Jin, J.; Kontar, W.; Masoud, N.; Nouiehed, M.; Okwudire, C.E.; Raskutti, G.; Saigal, R.; Singh, K.; Ye, Z.-S.",The Internet of Federated Things (IoFT),IEEE Access,2021,9,,156071–156113,10.1109/ACCESS.2021.3127448,,,https://www.scopus.com/pages/publications/85119445922?origin=resultslist,
9EF43QF9,journalArticle,"Dutta, S.; Leal de Freitas, I.; Maciel Xavier, P.; Miceli de Farias, C.; Bernal Neira, D.E.",Federated Learning in Chemical Engineering: A Tutorial on a Framework for Privacy-Preserving Collaboration across Distributed Data Sources,Industrial and Engineering Chemistry Research,2025,64,15,7767–7783,10.1021/acs.iecr.4c03805,,,https://www.scopus.com/pages/publications/105003011877?origin=resultslist,
98H3VQ95,journalArticle,"Moubayed, A.; Sharif, M.; Luccini, M.; Primak, S.; Shami, A.",Water Leak Detection Survey: Challenges Research Opportunities Using Data Fusion Federated Learning,IEEE Access,2021,9,,40595–40611,10.1109/ACCESS.2021.3064445,,,https://www.scopus.com/pages/publications/85102631808?origin=resultslist,
AEC4Z6UA,conferencePaper,"Sadrarhami, H.; Zanjani, S.M.; Shahgholian, G.; Ataei, M.","Applying AI to Overcome IoT Challenges for Enterprise Architecture in Smart Cities, Industry, and Healthcare",,2025,,,,10.1109/ICAEA69058.2025.11301439,,,https://www.scopus.com/pages/publications/105032153622?origin=resultslist,
A5BTKNUB,journalArticle,"Taheri, R.; Shojafar, M.; Alazab, M.; Tafazolli, R.",Fed-IIoT: A Robust Federated Malware Detection Architecture in Industrial IoT,IEEE Transactions on Industrial Informatics,2021,17,12,8442–8452,10.1109/TII.2020.3043458,,,https://www.scopus.com/pages/publications/85097929230?origin=resultslist,
A5GF2M3F,journalArticle,"Hussain, A.S.; Morris, K.; Gurvich, V.J.",NIPTE 2030: The Nation’s Digital Trust Anchor for Pharma 5.0,Pharmaceutical Research,2026,,,,10.1007/s11095-026-04118-z,,,https://www.scopus.com/pages/publications/105039463058?origin=resultslist,
BHJVPDKD,conferencePaper,"Ndiaye, N.G.; Ruland, C.; Waedt, K.; Zeddini, O.; Kirdan, E.",FedMqADV: A Unified Framework for End-to-End Evaluation of MQTT-Based Federated Learning in Adversarial Setting,,2025,,2025,,10.1109/ICPS65515.2025.11087915,,,https://www.scopus.com/pages/publications/105040208333?origin=resultslist,
AHUQHV3E,journalArticle,"Zhang, X.; Ma, L.; Peng, K.; Zhang, C.; Shahid, M.A.",A cloud–edge collaboration based quality-related hierarchical fault detection framework for large-scale manufacturing processes,Expert Systems with Applications,2024,256,,,10.1016/j.eswa.2024.124909,,,https://www.scopus.com/pages/publications/85199947995?origin=resultslist,
BE5PD4YB,journalArticle,"Manimuthu, A.; Venkatesh, V.G.; Shi, Y.; Sreedharan, V.R.; Koh, S.C.L.",Design and development of automobile assembly model using federated artificial intelligence with smart contract,International Journal of Production Research,2022,60,1,111–135,10.1080/00207543.2021.1988750,,,https://www.scopus.com/pages/publications/85117287786?origin=resultslist,
BLMEAAD6,journalArticle,"Ahmed Khan, Haroon; Naqvi, Syed Saud; Alharbi, Abeer A. K.; Alotaibi, Salihah; Alkhathami, Mohammed",Enhancing trash classification in smart cities using federated deep learning,Scientific Reports,2024,14,1,,10.1038/s41598-024-62003-4,2045-2322,,http://dx.doi.org/10.1038/s41598-024-62003-4,Springer Science and Business Media LLC
BEGC93YT,conferencePaper,J. Yang; S. Han; Z. Liu; Y. Jiang,Security Application and Practice of Joint Computing in Industrial Control System,"2025 10th International Symposium on Advances in Electrical, Electronics and Computer Engineering (ISAEECE)",2025,,,390–394,10.1109/ISAEECE66033.2025.11160165,,,,
B725QZBR,conferencePaper,"Singhatia, S.; Dhingra, M.",Developing an Advanced Cross layer Distributed Model for Enhanced Attack Detection Model,,2025,,,,10.1109/ICRTEECT67512.2025.11448616,,,https://www.scopus.com/pages/publications/105037325218?origin=resultslist,
